YEAR,INCIDENTS,RATES,id,Region Id
12/31/2014 0:00,0,0,9,1
12/31/2013 0:00,51,12.44,3,4
12/31/2010 0:00,0,0,3,3
12/31/2016 0:00,0,0,13,1
12/31/2017 0:00,0,0,5,2
12/31/2010 0:00,303,76.08,6,4
12/31/2011 0:00,0,0,1,1
12/31/2016 0:00,0,0,3,2
12/31/2013 0:00,0,0,13,3
12/31/2010 0:00,0,0,11,1
12/31/2015 0:00,0,0,14,1
12/31/2013 0:00,0,0,3,3
12/31/2014 0:00,103,24.9,9,4
12/31/2014 0:00,0,0,1,1
12/31/2015 0:00,0,0,9,3
12/31/2016 0:00,0,0,8,3
12/31/2012 0:00,0,0,7,2
12/31/2013 0:00,0,0,6,2
12/31/2017 0:00,0,0,11,2
12/31/2017 0:00,0,0,4,1
12/31/2013 0:00,0,0,6,2
12/31/2012 0:00,920,226.16,5,4
12/31/2014 0:00,0,0,4,1
12/31/2016 0:00,0,0,12,2
12/31/2015 0:00,0,0,1,2
12/31/2013 0:00,0,0,12,2
12/31/2014 0:00,0,0,10,3
12/31/2017 0:00,0,0,1,3
12/31/2016 0:00,0,0,7,1
12/31/2017 0:00,0,0,1,3
12/31/2013 0:00,0,0,12,3
12/31/2017 0:00,0,0,8,2
12/31/2011 0:00,0,0,6,3
12/31/2014 0:00,0,0,3,3
12/31/2010 0:00,0,0,3,1
12/31/2013 0:00,25,6.1,1,4
12/31/2010 0:00,0,0,9,2
12/31/2016 0:00,0,0,12,3
12/31/2014 0:00,0,0,13,3
12/31/2014 0:00,0,0,3,2
12/31/2013 0:00,0,0,1,3
12/31/2017 0:00,0,0,7,2
12/31/2010 0:00,0,0,15,2
12/31/2015 0:00,1563,374.95,1,4
12/31/2015 0:00,0,0,13,2
12/31/2016 0:00,0,0,13,3
12/31/2014 0:00,985,238.15,11,4
12/31/2014 0:00,5,1.21,4,4
12/31/2016 0:00,0,0,6,1
12/31/2016 0:00,115,27.06,8,4
12/31/2016 0:00,0,0,14,2
12/31/2014 0:00,0,0,1,2
12/31/2015 0:00,675,161.93,5,4
12/31/2015 0:00,0,0,13,2
12/31/2012 0:00,0,0,9,2
12/31/2015 0:00,45,10.8,1,4
12/31/2017 0:00,0,0,13,3
