OBJECTID,BUSSTOPID,STOPNUMBER,LTAR,LOCATION,FCODE,ADDDATE,MODDATE
1397,BS1387,8877,Yes,Larry Uteck Blvd Before Nine Mile Dr (8877),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2019-11-25T00:00:00.000Z
1398,BS1385,8875,Yes,Larry Uteck Blvd At Civic 461 (8875),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2019-11-25T00:00:00.000Z
1399,BS1379,8882,Yes,Larry Uteck Blvd After Jacob Ln (8882),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2019-11-25T00:00:00.000Z
1400,BS1007,7124,Yes,Larry Uteck Blvd At Civic 54 (7124),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2019-11-25T00:00:00.000Z
1401,BS2671,8849,Yes,Larry Uteck Blvd After Bedford Hwy (8849),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2019-11-25T00:00:00.000Z
1402,BS2650,8869,Yes,Larry Uteck Blvd Before Bedford Hwy (8869),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2019-11-25T00:00:00.000Z
1403,BS1876,8047,Yes,Portland St After Spring Ave (8047),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
1404,BS1496,8057,Yes,Portland St Before Canal St (8057),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
1405,BS1497,8058,Yes,Portland St Before James St (8058),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
1406,BS1506,8069,Yes,Prince Albert Rd Before Celtic Dr (8069),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
1407,BS1508,8071,Yes,Princess Margaret Blvd At Civic 40 (8071),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
1408,BS1509,8072,Yes,Princess Margaret Blvd At Civic 55 (8072),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
1409,BS1708,8073,Yes,Princess Margaret Blvd Opposite Civic 320 (8073),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
1410,BS1709,8074,Yes,Princess Margaret Blvd After Killkee Gate (8074),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
1411,BS1714,8079,Yes,Princess Margaret Blvd Before Ryan Gate (8079),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
1412,BS2504,8086,Yes,Purcells Cove Rd After Anchor Dr (8086),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2019-11-25T00:00:00.000Z
1413,BS2277,8087,Yes,Purcells Cove Rd After Halls Rd (8087),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2019-11-25T00:00:00.000Z
1414,BS1945,7057,Yes,Kincardine Dr After Greenoch Dr (7057),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
1415,BS1946,7058,Yes,King St After Portland St (7058),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
1416,BS1732,7082,Yes,Lacewood Dr Before Willett St (7082),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
1417,BS476,7098,Yes,Lake Loon Rd At Civic 151 (7098),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
