CIV_POSTAL,CIV_ID,STR_CODE,GSA_NAME
B3A 3S6,50446,6260,DARTMOUTH
B3K 5R8,58962,1013,HALIFAX
B3H 3J1,76940,284,HALIFAX
B2Y 4B1,158880,6536,DARTMOUTH
B3M 2C9,158897,236,HALIFAX
B3L 2Y2,158900,293,HALIFAX
B3N 2N6,158906,7,HALIFAX
B3P 0A6,139888,16535,HALIFAX
B3R 1J2,24486,410,HALIFAX
B2Y 2L7,65523,6170,DARTMOUTH
B3K 3M2,61436,252,HALIFAX
,140509,66,HALIFAX
B3R 1K7,24498,43,HALIFAX
B2W 6M9,123070,15644,DARTMOUTH
B3P 2S1,85743,1140,HALIFAX
B3P 2A8,81360,681,HALIFAX
B3H 2J1,76519,212,HALIFAX
B3L 2P5,130357,173,HALIFAX
B3L 2V4,70150,619,HALIFAX
B3H 3M7,77331,835,HALIFAX
B3R 2E4,24823,222,HALIFAX
B3H 3S3,77037,845,HALIFAX
B3K 2V8,64640,409,HALIFAX
B3H 1Z7,139310,191,HALIFAX
B2W 6A2,64542,6181,DARTMOUTH
B2Y 2M1,64580,6434,DARTMOUTH
B3R 1E6,24961,318,HALIFAX
B3R 1E8,24936,318,HALIFAX
B3L 3L9,65019,180,HALIFAX
B3M 1B2,16675,514,HALIFAX
B2Y 3W6,62341,6263,DARTMOUTH
,147369,345,HALIFAX
B3K 4Z9,59301,60,HALIFAX
B3L 3W2,70733,194,HALIFAX
B3M 3P3,13240,827,HALIFAX
B2W 1T8,55794,6145,DARTMOUTH
B3L 3C7,75004,32,HALIFAX
B3B 1A3,49199,6545,DARTMOUTH
B3H 1Y8,77388,191,HALIFAX
B3L 3T6,73582,259,HALIFAX
B3K 5B4,72040,877,HALIFAX
B2Y 3G6,54641,6122,DARTMOUTH
B3A 2S5,57458,6667,DARTMOUTH
B2W 1Y4,54739,6622,DARTMOUTH
B3N 1S3,78929,291,HALIFAX
B3P 2S1,85882,1140,HALIFAX
B3H 1E3,82561,147,HALIFAX
B3A 3B9,57870,6340,DARTMOUTH
B2W 3J6,50647,6217,DARTMOUTH
B3A 3R7,52165,6166,DARTMOUTH
B3B 0B7,138873,16488,DARTMOUTH
B3M 4A7,10903,181,HALIFAX
B3M 1V8,10631,782,HALIFAX
B2W 1W9,53060,6659,DARTMOUTH
B2W 3H6,50925,6532,DARTMOUTH
B2X 1G6,49534,6556,DARTMOUTH
B3B 1W6,48132,6092,DARTMOUTH
B3A 2C9,52117,6606,DARTMOUTH
B2W 0B1,138419,16477,DARTMOUTH
B3M 4X8,124645,15777,HALIFAX
B2W 2H9,112579,6412,DARTMOUTH
B3K 5V6,66836,1069,HALIFAX
B3R 1H9,87612,127,HALIFAX
B3R 1L2,24282,47,HALIFAX
B3P 2B3,80242,688,HALIFAX
B3P 1M7,23498,311,HALIFAX
B2W 0G4,141309,16665,DARTMOUTH
B3P 0E4,158670,17030,HALIFAX
B3P 0E4,158675,17030,HALIFAX
B3P 0E1,158688,16810,HALIFAX
B3P 0E1,158689,16810,HALIFAX
B3P 0E6,158695,17029,HALIFAX
B3P 0E6,158702,17029,HALIFAX
B3P 0E6,158704,17029,HALIFAX
B3P 0E6,158712,17029,HALIFAX
B3P 0E8,158726,17029,HALIFAX
B3P 0E7,158745,17029,HALIFAX
B3B 1C6,47800,6419,DARTMOUTH
B3B 1A2,49401,6545,DARTMOUTH
B3A 4Z4,122640,15599,DARTMOUTH
B3B 1A1,49126,6545,DARTMOUTH
B3P 2L2,82981,904,HALIFAX
B2Y 2R4,126917,6363,DARTMOUTH
