FULL_NAME,STR_TYPE,STR_CODE_L,Shape__Length
BENTTREE LANE,LANE,16450,260.0277975
VICKILYNN LANE,LANE,16453,245.5766651
SCHOLARS RD,RD,16454,334.9678596
BEAVER CRES,CRES,7060,668.5217479
RIVERFRONT CRT,CRT,8546,156.7535388
RIVERVIEW DR,DR,8550,647.0131372
RIVERWOOD DR,DR,8551,1063.653577
STATION LANE,LANE,10914,178.8452116
STATION RD,RD,10915,766.2628051
STELLA CRT,CRT,10916,491.8041991
STEPHEN LANE,LANE,10917,190.9351663
ROSS RD,RD,8580,3841.730292
CRANTON DR,DR,7359,683.9178632
CREE ST,ST,7360,699.7366113
CRESCENT ST,ST,7362,86.43470673
EARL GORDON DR,DR,7459,475.2445352
WINLEY DR,DR,16016,899.3191681
HEIDELBERG LANE,LANE,7734,508.9396122
MAPLE DR,DR,6428,481.018696
MCCARTHY ST,ST,6440,328.9880886
MICHAEL LANE,LANE,6449,239.4958577
MICMAC DR,DR,6451,903.1574366
COUNTRY LAKE DR,DR,7344,1194.887635
SMITH COVE RD,RD,7346,804.5377398
COVEY LANE,LANE,7350,661.3363426
GLENWOOD DR,DR,7628,1424.93561
GLORIA LANE,LANE,7631,524.7025337
GLORY AVE,AVE,7632,305.0604237
HIGHWAY 357, ,7757,8735.809621
HIGHWAY 357, ,10458,8769.429942
MOUNTAIN RD,RD,8255,3246.368973
MOURNING DOVE LANE,LANE,8258,191.0763925
MOXON CRT,CRT,8260,191.3223098
AARON AVE,AVE,6911,800.5635503
ATTON RD,RD,6997,493.8997497
AUTUMN DR,DR,7003,677.0932924
CITADEL CRT,CRT,7288,112.7274234
GARRISON DR,DR,7607,408.2939537
BLOCKADE CIR,CIR,7115,345.4384967
PLEASANT DR,DR,8463,1952.29371
SMILEYS POINT RD,RD,8732,2844.303086
PLEASANT VALLEY RD,RD,8466,7931.931144
POCKWOCK RD,RD,8467,2539.47797
POINT RD,RD,8468,808.8244762
HAMPTON GRN,GRN,7694,1161.631216
SIOUX RD,RD,6801,364.8926383
JAMES SETTLEMENT RD,RD,7839,369.7527167
JAMIE DR,DR,7840,769.0881585
JAMIESON DR,DR,7841,1183.267018
JAMILS RD,RD,7842,581.440244
JAN MARIE DR,DR,7843,519.1596795
JANET DR,DR,7844,269.978474
JARRET LANE,LANE,7846,785.3388488
JEFFERSON LANE,LANE,7849,227.6034529
JEFFREY LANE,LANE,7850,537.0502073
JENNINGS SETTLEMENT RD,RD,7853,1260.354766
JERICHO RD,RD,7854,773.2864918
PHILIP DR,DR,8445,393.297412
JAMES ST,ST,7835,591.4050072
SILVER MAPLE DR,DR,8717,669.1983368
